"Market_and_Exchange_Names","As_of_Date_In_Form_YYMMDD","Report_Date_as_YYYY-MM-DD","CFTC_Contract_Market_Code","CFTC_Market_Code","CFTC_Region_Code","CFTC_Commodity_Code","Open_Interest_All","Dealer_Positions_Long_All","Dealer_Positions_Short_All","Dealer_Positions_Spread_All","Asset_Mgr_Positions_Long_All","Asset_Mgr_Positions_Short_All","Asset_Mgr_Positions_Spread_All","Lev_Money_Positions_Long_All","Lev_Money_Positions_Short_All","Lev_Money_Positions_Spread_All","Other_Rept_Positions_Long_All","Other_Rept_Positions_Short_All","Other_Rept_Positions_Spread_All","Tot_Rept_Positions_Long_All","Tot_Rept_Positions_Short_All","NonRept_Positions_Long_All","NonRept_Positions_Short_All","Change_in_Open_Interest_All","Change_in_Dealer_Long_All","Change_in_Dealer_Short_All","Change_in_Dealer_Spread_All","Change_in_Asset_Mgr_Long_All","Change_in_Asset_Mgr_Short_All","Change_in_Asset_Mgr_Spread_All","Change_in_Lev_Money_Long_All","Change_in_Lev_Money_Short_All","Change_in_Lev_Money_Spread_All","Change_in_Other_Rept_Long_All","Change_in_Other_Rept_Short_All","Change_in_Other_Rept_Spread_All","Change_in_Tot_Rept_Long_All","Change_in_Tot_Rept_Short_All","Change_in_NonRept_Long_All","Change_in_NonRept_Short_All","Pct_of_Open_Interest_All","Pct_of_OI_Dealer_Long_All","Pct_of_OI_Dealer_Short_All","Pct_of_OI_Dealer_Spread_All","Pct_of_OI_Asset_Mgr_Long_All","Pct_of_OI_Asset_Mgr_Short_All","Pct_of_OI_Asset_Mgr_Spread_All","Pct_of_OI_Lev_Money_Long_All","Pct_of_OI_Lev_Money_Short_All","Pct_of_OI_Lev_Money_Spread_All","Pct_of_OI_Other_Rept_Long_All","Pct_of_OI_Other_Rept_Short_All","Pct_of_OI_Other_Rept_Spread_All","Pct_of_OI_Tot_Rept_Long_All","Pct_of_OI_Tot_Rept_Short_All","Pct_of_OI_NonRept_Long_All","Pct_of_OI_NonRept_Short_All","Traders_Tot_All","Traders_Dealer_Long_All","Traders_Dealer_Short_All","Traders_Dealer_Spread_All","Traders_Asset_Mgr_Long_All","Traders_Asset_Mgr_Short_All","Traders_Asset_Mgr_Spread_All","Traders_Lev_Money_Long_All","Traders_Lev_Money_Short_All","Traders_Lev_Money_Spread_All","Traders_Other_Rept_Long_All","Traders_Other_Rept_Short_All","Traders_Other_Rept_Spread_All","Traders_Tot_Rept_Long_All","Traders_Tot_Rept_Short_All","Conc_Gross_LE_4_TDR_Long_All","Conc_Gross_LE_4_TDR_Short_All","Conc_Gross_LE_8_TDR_Long_All","Conc_Gross_LE_8_TDR_Short_All","Conc_Net_LE_4_TDR_Long_All","Conc_Net_LE_4_TDR_Short_All","Conc_Net_LE_8_TDR_Long_All","Conc_Net_LE_8_TDR_Short_All","Contract_Units","CFTC_Contract_Market_Code_Quotes","CFTC_Market_Code_Quotes","CFTC_Commodity_Code_Quotes","CFTC_SubGroup_Code","FutOnly_or_Combined"
"RUSSELL E-MINI - CHICAGO MERCANTILE EXCHANGE",250325,2025-03-25,239742,CME ,00,239 ,  399445,   73983,   98104,    3832,  169967,  130364,   34546,   65195,   84465,   16573,    6133,    8233,     972,  371201,  377089,   28244,   22356, -102662,  -13105,  -40126,  -27824,    1881,   -2219,   -3490,  -45717,   -8178,  -15891,    3354,   -1742,    -233, -101025,  -99703,   -1637,   -2959,  100.0,   18.5,   24.6,    1.0,   42.6,   32.6,    8.6,   16.3,   21.1,    4.1,    1.5,    2.1,    0.2,   92.9,   94.4,    7.1,    5.6,    313,     30,     23,      8,     89,     52,     41,     40,     60,     26,      5,     14,.,    206,    184,    13.8,    28.9,    23.2,    37.2,    11.9,    28.3,    20.4,    35.4,"(RUSSEL 2000 INDEX X $50)","239742","CME ","239 ","F20","FutOnly"
"RUSSELL E-MINI - CHICAGO MERCANTILE EXCHANGE",250318,2025-03-18,239742,CME ,00,239 ,  502107,   87088,  138230,   31656,  168086,  132583,   38036,  110912,   92643,   32464,    2779,    9975,    1205,  472226,  476792,   29881,   25315,   28233,   -3154,  -10089,   23602,   -4641,    7886,    2061,    5985,    2840,    7717,   -3572,  -10434,    1114,   29112,   24697,    -879,    3536,  100.0,   17.3,   27.5,    6.3,   33.5,   26.4,    7.6,   22.1,   18.5,    6.5,    0.6,    2.0,    0.2,   94.0,   95.0,    6.0,    5.0,    335,     36,     21,     23,     90,     53,     41,     55,     60,     41,      7,     13,      4,    237,    207,    16.0,    28.1,    25.1,    36.9,    15.1,    27.5,    23.5,    34.8,"(RUSSEL 2000 INDEX X $50)","239742","CME ","239 ","F20","FutOnly"
"RUSSELL E-MINI - CHICAGO MERCANTILE EXCHANGE",250311,2025-03-11,239742,CME ,00,239 ,  473874,   90242,  148319,    8054,  172727,  124697,   35975,  104927,   89803,   24747,    6351,   20409,      91,  443114,  452095,   30760,   21779,   28290,     458,    8116,    1340,   -6530,   17448,    4801,   21467,   -4965,    6082,    1762,   -2615,    -618,   28762,   29589,    -472,   -1299,  100.0,   19.0,   31.3,    1.7,   36.4,   26.3,    7.6,   22.1,   19.0,    5.2,    1.3,    4.3,    0.0,   93.5,   95.4,    6.5,    4.6,    343,     35,     23,     11,     92,     51,     40,     57,     60,     33,     12,     12,.,    237,    192,    16.1,    30.7,    25.6,    39.3,    15.3,    30.1,    24.4,    37.7,"(RUSSEL 2000 INDEX X $50)","239742","CME ","239 ","F20","FutOnly"
"RUSSELL E-MINI - CHICAGO MERCANTILE EXCHANGE",250304,2025-03-04,239742,CME ,00,239 ,  445584,   89784,  140203,    6714,  179257,  107249,   31174,   83460,   94768,   18665,    4589,   23024,     709,  414352,  422506,   31232,   23078,   23096,      95,    1365,    1623,   -4128,    9262,    -987,   28652,    8462,    -132,    -166,     812,       3,   24960,   20408,   -1864,    2688,  100.0,   20.1,   31.5,    1.5,   40.2,   24.1,    7.0,   18.7,   21.3,    4.2,    1.0,    5.2,    0.2,   93.0,   94.8,    7.0,    5.2,    336,     36,     20,     10,     95,     48,     39,     49,     63,     24,     12,     13,.,    234,    177,    13.4,    29.0,    22.8,    38.3,    12.8,    28.0,    21.9,    36.6,"(RUSSEL 2000 INDEX X $50)","239742","CME ","239 ","F20","FutOnly"
"RUSSELL E-MINI - CHICAGO MERCANTILE EXCHANGE",250225,2025-02-25,239742,CME ,00,239 ,  422488,   89689,  138838,    5091,  183385,   97987,   32161,   54808,   86306,   18797,    4755,   22212,     706,  389392,  402098,   33096,   20390,    5879,    5633,     795,    2635,  -18523,   -2733,     994,   17679,   -3952,     557,   -3139,    5837,     634,    6470,    4767,    -591,    1112,  100.0,   21.2,   32.9,    1.2,   43.4,   23.2,    7.6,   13.0,   20.4,    4.4,    1.1,    5.3,    0.2,   92.2,   95.2,    7.8,    4.8,    337,     36,     23,     11,    104,     41,     40,     45,     63,     26,     10,     15,.,    231,    185,    13.9,    28.9,    23.2,    37.7,    12.7,    28.0,    21.6,    36.5,"(RUSSEL 2000 INDEX X $50)","239742","CME ","239 ","F20","FutOnly"
"RUSSELL E-MINI - CHICAGO MERCANTILE EXCHANGE",250218,2025-02-18,239742,CME ,00,239 ,  416609,   84056,  138043,    2456,  201908,  100720,   31167,   37129,   90258,   18240,    7894,   16375,      72,  382922,  397331,   33687,   19278,    1652,   -2131,    3758,     202,     511,   -1177,    1359,    -941,    -276,    1101,     878,   -1790,    -179,     800,    2998,     852,   -1346,  100.0,   20.2,   33.1,    0.6,   48.5,   24.2,    7.5,    8.9,   21.7,    4.4,    1.9,    3.9,    0.0,   91.9,   95.4,    8.1,    4.6,    333,     30,     24,      8,    104,     38,     40,     45,     67,     24,     15,     10,.,    227,    181,    14.1,    29.2,    23.9,    39.3,    14.0,    28.7,    23.1,    38.0,"(RUSSEL 2000 INDEX X $50)","239742","CME ","239 ","F20","FutOnly"
"RUSSELL E-MINI - CHICAGO MERCANTILE EXCHANGE",250211,2025-02-11,239742,CME ,00,239 ,  414957,   86187,  134285,    2254,  201397,  101897,   29808,   38070,   90534,   17139,    7016,   18165,     251,  382122,  394333,   32835,   20624,   -5361,    1937,  -10495,    -114,    2599,    3632,    -960,   -7071,   -1856,    3671,   -1210,    1873,     125,   -1023,   -4124,   -4338,   -1237,  100.0,   20.8,   32.4,    0.5,   48.5,   24.6,    7.2,    9.2,   21.8,    4.1,    1.7,    4.4,    0.1,   92.1,   95.0,    7.9,    5.0,    322,     31,     22,      7,    104,     36,     39,     45,     58,     24,     14,     12,      5,    227,    170,    14.1,    28.8,    23.6,    39.1,    13.9,    28.8,    23.2,    38.3,"(RUSSEL 2000 INDEX X $50)","239742","CME ","239 ","F20","FutOnly"
"RUSSELL E-MINI - CHICAGO MERCANTILE EXCHANGE",250204,2025-02-04,239742,CME ,00,239 ,  420318,   84250,  144780,    2368,  198798,   98265,   30768,   45141,   92390,   13468,    8226,   16292,     126,  383145,  398457,   37173,   21861,   -5390,    3299,   -3954,    -311,  -14068,    5222,    2815,    4795,   -9861,   -1011,   -3840,   -1557,      46,   -8275,   -8611,    2885,    3221,  100.0,   20.0,   34.4,    0.6,   47.3,   23.4,    7.3,   10.7,   22.0,    3.2,    2.0,    3.9,    0.0,   91.2,   94.8,    8.8,    5.2,    325,     30,     24,      7,    104,     37,     41,     45,     61,     25,     13,     11,      4,    227,    175,    14.0,    30.3,    23.4,    39.8,    13.9,    29.7,    23.1,    38.8,"(RUSSEL 2000 INDEX X $50)","239742","CME ","239 ","F20","FutOnly"
"RUSSELL E-MINI - CHICAGO MERCANTILE EXCHANGE",250128,2025-01-28,239742,CME ,00,239 ,  425708,   80951,  148734,    2679,  212866,   93043,   27953,   40346,  102251,   14479,   12066,   17849,      80,  391420,  407068,   34288,   18640,  -10338,    1790,  -14925,    -207,    1318,    4814,   -1093,   -5071,    2390,    -326,   -3498,    -572,    -276,   -7363,  -10195,   -2975,    -143,  100.0,   19.0,   34.9,    0.6,   50.0,   21.9,    6.6,    9.5,   24.0,    3.4,    2.8,    4.2,    0.0,   91.9,   95.6,    8.1,    4.4,    327,     31,     20,      7,    108,     36,     36,     51,     59,     24,     11,     11,.,    233,    163,    13.4,    30.9,    22.3,    39.9,    13.3,    30.0,    21.8,    38.6,"(RUSSEL 2000 INDEX X $50)","239742","CME ","239 ","F20","FutOnly"
"RUSSELL E-MINI - CHICAGO MERCANTILE EXCHANGE",250121,2025-01-21,239742,CME ,00,239 ,  436046,   79161,  163659,    2886,  211548,   88229,   29046,   45417,   99861,   14805,   15564,   18421,     356,  398783,  417263,   37263,   18783,  -17862,    -521,   -8963,    -656,    3471,    2644,    -278,  -13706,   -5518,   -4204,   -4281,   -1272,     216,  -19959,  -18031,    2097,     169,  100.0,   18.2,   37.5,    0.7,   48.5,   20.2,    6.7,   10.4,   22.9,    3.4,    3.6,    4.2,    0.1,   91.5,   95.7,    8.5,    4.3,    335,     30,     20,      7,    106,     40,     37,     52,     62,     22,     12,     13,      4,    233,    172,    12.9,    32.8,    21.8,    41.2,    12.7,    31.8,    21.5,    39.7,"(RUSSEL 2000 INDEX X $50)","239742","CME ","239 ","F20","FutOnly"
"RUSSELL E-MINI - CHICAGO MERCANTILE EXCHANGE",250114,2025-01-14,239742,CME ,00,239 ,  453908,   79682,  172622,    3542,  208077,   85585,   29324,   59123,  105379,   19009,   19845,   19693,     140,  418742,  435294,   35166,   18614,   -8307,    7283,  -17353,     152,  -16513,   -1558,    1589,    -326,    6626,     712,    -381,    -564,      25,   -7459,  -10371,    -848,    2064,  100.0,   17.6,   38.0,    0.8,   45.8,   18.9,    6.5,   13.0,   23.2,    4.2,    4.4,    4.3,    0.0,   92.3,   95.9,    7.7,    4.1,    333,     32,     20,      7,    103,     42,     38,     46,     67,     24,     11,     12,      5,    226,    181,    13.7,    32.0,    23.1,    40.8,    13.3,    31.9,    21.9,    39.7,"(RUSSEL 2000 INDEX X $50)","239742","CME ","239 ","F20","FutOnly"
"RUSSELL E-MINI - CHICAGO MERCANTILE EXCHANGE",250107,2025-01-07,239742,CME ,00,239 ,  462215,   72399,  189975,    3390,  224590,   87143,   27735,   59449,   98753,   18297,   20226,   20257,     115,  426201,  445665,   36014,   16550,   -8162,    4905,  -20655,    -399,  -20303,   -2509,    3545,   12489,   11304,    -924,   -5751,    1571,      54,   -6384,   -8013,   -1778,    -149,  100.0,   15.7,   41.1,    0.7,   48.6,   18.9,    6.0,   12.9,   21.4,    4.0,    4.4,    4.4,    0.0,   92.2,   96.4,    7.8,    3.6,    337,     33,     19,      6,    107,     40,     37,     49,     67,     24,      9,     13,      4,    234,    174,    13.2,    34.4,    22.8,    43.3,    13.1,    34.1,    22.0,    42.3,"(RUSSEL 2000 INDEX X $50)","239742","CME ","239 ","F20","FutOnly"
"EMINI RUSSELL 1000 VALUE INDEX - CHICAGO MERCANTILE EXCHANGE",250610,2025-06-10,239744,CME ,00,239 ,   28715,   14748,   11987,       0,   11630,   14929,     202,     292,       0,       0,       0,     791,      94,   26966,   28003,    1749,     712,    -117,     144,     -21,       0,     578,       0,       0,       0,       0,       0,    -355,     532,    -557,    -190,     -46,      73,     -71,  100.0,   51.4,   41.7,    0.0,   40.5,   52.0,    0.7,    1.0,    0.0,    0.0,    0.0,    2.8,    0.3,   93.9,   97.5,    6.1,    2.5,     25,      5,      4,      0,     10,.,.,.,      0,      0,      0,.,.,     17,     10,    64.8,    87.5,    81.9,    96.0,    64.8,    87.5,    81.9,    95.7,"(RUSSELL 1000 VALUE INDEX x $50)","239744","CME ","239 ","F20","FutOnly"
"EMINI RUSSELL 1000 VALUE INDEX - CHICAGO MERCANTILE EXCHANGE",250603,2025-06-03,239744,CME ,00,239 ,   28832,   14604,   12008,       0,   11052,   14929,     202,     292,       0,       0,     355,     259,     651,   27156,   28049,    1676,     783,      22,    -417,     190,       0,     409,       0,      -4,       0,       0,       0,     296,       0,    -296,     -12,    -110,      34,     132,  100.0,   50.7,   41.6,    0.0,   38.3,   51.8,    0.7,    1.0,    0.0,    0.0,    1.2,    0.9,    2.3,   94.2,   97.3,    5.8,    2.7,     25,      5,      5,      0,      9,.,.,.,      0,      0,.,.,.,     16,     11,    62.8,    86.4,    79.8,    94.9,    62.8,    86.4,    79.8,    93.5,"(RUSSELL 1000 VALUE INDEX x $50)","239744","CME ","239 ","F20","FutOnly"
"EMINI RUSSELL 1000 VALUE INDEX - CHICAGO MERCANTILE EXCHANGE",250527,2025-05-27,239744,CME ,00,239 ,   28810,   15021,   11818,       0,   10643,   14929,     206,     292,       0,       0,      59,     259,     947,   27168,   28159,    1642,     651,     557,    1331,     356,       0,    -640,       0,       0,       0,       0,       0,    -144,       0,     144,     691,     500,    -134,      57,  100.0,   52.1,   41.0,    0.0,   36.9,   51.8,    0.7,    1.0,    0.0,    0.0,    0.2,    0.9,    3.3,   94.3,   97.7,    5.7,    2.3,     23,      5,      4,      0,      8,.,.,.,      0,      0,.,.,.,     15,     10,    64.8,    86.6,    81.8,    96.2,    64.8,    86.6,    81.8,    93.7,"(RUSSELL 1000 VALUE INDEX x $50)","239744","CME ","239 ","F20","FutOnly"
"EMINI RUSSELL 1000 VALUE INDEX - CHICAGO MERCANTILE EXCHANGE",250520,2025-05-20,239744,CME ,00,239 ,   28253,   13690,   11462,       0,   11283,   14929,     206,     292,       0,       0,     203,     259,     803,   26477,   27659,    1776,     594,      41,    -543,      92,       0,     590,       0,     -56,       0,       0,       0,       0,       9,       0,      -9,      45,      50,      -4,  100.0,   48.5,   40.6,    0.0,   39.9,   52.8,    0.7,    1.0,    0.0,    0.0,    0.7,    0.9,    2.8,   93.7,   97.9,    6.3,    2.1,     23,      4,      4,      0,      9,.,.,.,      0,      0,.,.,.,     15,     10,    61.5,    87.1,    78.8,    96.3,    61.5,    87.1,    78.8,    94.3,"(RUSSELL 1000 VALUE INDEX x $50)","239744","CME ","239 ","F20","FutOnly"
"EMINI RUSSELL 1000 VALUE INDEX - CHICAGO MERCANTILE EXCHANGE",250513,2025-05-13,239744,CME ,00,239 ,   28212,   14233,   11370,       0,   10693,   14929,     262,     292,       0,       0,     203,     250,     803,   26486,   27614,    1726,     598,    -552,    -234,   -1314,       0,    -565,    -176,      56,    -212,       0,       0,    -673,     -18,     673,    -955,    -779,     403,     227,  100.0,   50.5,   40.3,    0.0,   37.9,   52.9,    0.9,    1.0,    0.0,    0.0,    0.7,    0.9,    2.8,   93.9,   97.9,    6.1,    2.1,     23,      4,      4,      0,      9,.,.,.,      0,      0,.,.,.,     15,     11,    61.8,    86.9,    79.1,    96.1,    61.8,    86.9,    79.1,    94.1,"(RUSSELL 1000 VALUE INDEX x $50)","239744","CME ","239 ","F20","FutOnly"
"EMINI RUSSELL 1000 VALUE INDEX - CHICAGO MERCANTILE EXCHANGE",250506,2025-05-06,239744,CME ,00,239 ,   28764,   14467,   12684,       0,   11258,   15105,     206,     504,       0,       0,     876,     268,     130,   27441,   28393,    1323,     371,     162,    -249,     -88,       0,     267,     234,      -4,     248,       0,       0,    -130,      -6,     130,     262,     266,    -100,    -104,  100.0,   50.3,   44.1,    0.0,   39.1,   52.5,    0.7,    1.8,    0.0,    0.0,    3.0,    0.9,    0.5,   95.4,   98.7,    4.6,    1.3,     27,      5,      5,      0,     10,.,.,.,      0,      0,.,.,.,     18,     11,    59.4,    85.4,    77.3,    96.7,    59.4,    85.4,    77.3,    96.7,"(RUSSELL 1000 VALUE INDEX x $50)","239744","CME ","239 ","F20","FutOnly"
"EMINI RUSSELL 1000 VALUE INDEX - CHICAGO MERCANTILE EXCHANGE",250429,2025-04-29,239744,CME ,00,239 ,   28602,   14716,   12772,       0,   10991,   14871,     210,     256,       0,       0,    1006,     274,       0,   27179,   28127,    1423,     475,     904,     480,     882,       0,    -554,       0,       0,     256,       0,       0,    1006,     -17,       0,    1188,     865,    -284,      39,  100.0,   51.5,   44.7,    0.0,   38.4,   52.0,    0.7,    0.9,    0.0,    0.0,    3.5,    1.0,    0.0,   95.0,   98.3,    5.0,    1.7,     25,      5,      5,      0,     10,.,.,.,      0,      0,.,.,      0,     17,      9,    59.8,    85.9,    77.7,    97.6,    59.8,    85.9,    77.7,    97.6,"(RUSSELL 1000 VALUE INDEX x $50)","239744","CME ","239 ","F20","FutOnly"
"EMINI RUSSELL 1000 VALUE INDEX - CHICAGO MERCANTILE EXCHANGE",250422,2025-04-22,239744,CME ,00,239 ,   27698,   14236,   11890,       0,   11545,   14871,     210,       0,       0,       0,       0,     291,       0,   25991,   27262,    1707,     436,    -330,    -199,     244,       0,    -175,       0,       0,       0,       0,       0,       0,    -383,       0,    -374,    -139,      44,    -191,  100.0,   51.4,   42.9,    0.0,   41.7,   53.7,    0.8,    0.0,    0.0,    0.0,    0.0,    1.1,    0.0,   93.8,   98.4,    6.2,    1.6,     23,      4,      6,      0,     10,.,.,      0,      0,      0,      0,.,      0,     14,     10,    63.5,    85.8,    82.1,    96.9,    63.5,    85.8,    82.1,    96.9,"(RUSSELL 1000 VALUE INDEX x $50)","239744","CME ","239 ","F20","FutOnly"
"EMINI RUSSELL 1000 VALUE INDEX - CHICAGO MERCANTILE EXCHANGE",250415,2025-04-15,239744,CME ,00,239 ,   28028,   14435,   11646,       0,   11720,   14871,     210,       0,       0,       0,       0,     674,       0,   26365,   27401,    1663,     627,     129,    -368,     420,       0,     751,    -394,       0,       0,       0,       0,       0,     -24,       0,     383,       2,    -254,     127,  100.0,   51.5,   41.6,    0.0,   41.8,   53.1,    0.7,    0.0,    0.0,    0.0,    0.0,    2.4,    0.0,   94.1,   97.8,    5.9,    2.2,     24,      5,      5,      0,     11,.,.,      0,      0,      0,      0,.,      0,     16,      9,    61.9,    84.9,    80.2,    97.0,    61.9,    84.9,    80.2,    97.0,"(RUSSELL 1000 VALUE INDEX x $50)","239744","CME ","239 ","F20","FutOnly"
"EMINI RUSSELL 1000 VALUE INDEX - CHICAGO MERCANTILE EXCHANGE",250408,2025-04-08,239744,CME ,00,239 ,   27899,   14803,   11226,       0,   10969,   15265,     210,       0,       0,       0,       0,     698,       0,   25982,   27399,    1917,     500,    -257,     644,   -1005,       0,    -924,    -244,       0,       0,       0,       0,       0,     698,       0,    -280,    -551,      23,     294,  100.0,   53.1,   40.2,    0.0,   39.3,   54.7,    0.8,    0.0,    0.0,    0.0,    0.0,    2.5,    0.0,   93.1,   98.2,    6.9,    1.8,     23,      5,      5,      0,     10,.,.,      0,      0,      0,      0,.,      0,     15,      9,    64.3,    84.9,    82.8,    97.5,    64.3,    84.9,    82.8,    97.5,"(RUSSELL 1000 VALUE INDEX x $50)","239744","CME ","239 ","F20","FutOnly"
"EMINI RUSSELL 1000 VALUE INDEX - CHICAGO MERCANTILE EXCHANGE",250401,2025-04-01,239744,CME ,00,239 ,   28156,   14159,   12231,       0,   11893,   15509,     210,       0,       0,       0,       0,       0,       0,   26262,   27950,    1894,     206,   -2441,   -2708,     922,       0,     532,   -3303,       0,       0,       0,       0,       0,       0,       0,   -2176,   -2381,    -265,     -60,  100.0,   50.3,   43.4,    0.0,   42.2,   55.1,    0.7,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,   93.3,   99.3,    6.7,    0.7,     24,      4,      6,      0,     11,.,.,      0,      0,      0,      0,      0,      0,     15,     10,    62.8,    85.8,    81.5,    97.7,    62.8,    85.8,    81.5,    97.7,"(RUSSELL 1000 VALUE INDEX x $50)","239744","CME ","239 ","F20","FutOnly"
"EMINI RUSSELL 1000 VALUE INDEX - CHICAGO MERCANTILE EXCHANGE",250325,2025-03-25,239744,CME ,00,239 ,   30597,   16867,   11309,       0,   11361,   18812,     210,       0,       0,       0,       0,       0,       0,   28438,   30331,    2159,     266,  -11527,   -3200,   -3298,   -7749,    -235,       0,       0,       0,       0,       0,       0,       0,       0,  -11184,  -11047,    -343,    -480,  100.0,   55.1,   37.0,    0.0,   37.1,   61.5,    0.7,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,   92.9,   99.1,    7.1,    0.9,     24,.,      6,      0,     12,.,.,      0,      0,      0,      0,      0,      0,     15,     10,    64.5,    83.8,    81.7,    97.6,    64.5,    83.8,    81.7,    97.6,"(RUSSELL 1000 VALUE INDEX x $50)","239744","CME ","239 ","F20","FutOnly"
"EMINI RUSSELL 1000 VALUE INDEX - CHICAGO MERCANTILE EXCHANGE",250318,2025-03-18,239744,CME ,00,239 ,   42124,   20067,   14607,    7749,   11596,   18812,     210,       0,       0,       0,       0,       0,       0,   39622,   41378,    2502,     746,    9953,     928,    1228,    7749,     486,     658,     -86,       0,       0,       0,       0,       0,       0,    9077,    9549,     876,     404,  100.0,   47.6,   34.7,   18.4,   27.5,   44.7,    0.5,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,   94.1,   98.2,    5.9,    1.8,     26,.,      7,      4,     12,.,.,      0,      0,      0,      0,      0,      0,     17,     14,    66.3,    70.0,    81.7,    91.9,    54.9,    66.3,    67.4,    77.8,"(RUSSELL 1000 VALUE INDEX x $50)","239744","CME ","239 ","F20","FutOnly"
"EMINI RUSSELL 1000 VALUE INDEX - CHICAGO MERCANTILE EXCHANGE",250311,2025-03-11,239744,CME ,00,239 ,   32171,   19139,   13379,       0,   11110,   18154,     296,       0,       0,       0,       0,       0,       0,   30545,   31829,    1626,     342,    1382,    1416,     530,       0,     185,    1167,      86,       0,       0,       0,       0,       0,       0,    1687,    1783,    -305,    -401,  100.0,   59.5,   41.6,    0.0,   34.5,   56.4,    0.9,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,   94.9,   98.9,    5.1,    1.1,     26,      4,      7,      0,     12,.,.,      0,      0,      0,      0,      0,      0,     17,     11,    69.0,    83.2,    83.5,    96.6,    69.0,    83.2,    83.5,    96.6,"(RUSSELL 1000 VALUE INDEX x $50)","239744","CME ","239 ","F20","FutOnly"
"EMINI RUSSELL 1000 VALUE INDEX - CHICAGO MERCANTILE EXCHANGE",250304,2025-03-04,239744,CME ,00,239 ,   30789,   17723,   12849,       0,   10925,   16987,     210,       0,       0,       0,       0,       0,       0,   28858,   30046,    1931,     743,    1375,    -261,    1297,       0,    1302,       0,       0,       0,       0,       0,       0,       0,       0,    1041,    1297,     334,      78,  100.0,   57.6,   41.7,    0.0,   35.5,   55.2,    0.7,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,   93.7,   97.6,    6.3,    2.4,     24,      4,      6,      0,     12,.,.,      0,      0,      0,      0,      0,      0,     16,      9,    69.2,    82.9,    82.1,    96.9,    69.2,    82.9,    82.1,    96.9,"(RUSSELL 1000 VALUE INDEX x $50)","239744","CME ","239 ","F20","FutOnly"
"EMINI RUSSELL 1000 VALUE INDEX - CHICAGO MERCANTILE EXCHANGE",250225,2025-02-25,239744,CME ,00,239 ,   29414,   17984,   11552,       0,    9623,   16987,     210,       0,       0,       0,       0,       0,       0,   27817,   28749,    1597,     665,     343,     -62,     333,       0,     579,       0,       0,    -224,       0,       0,       0,       0,       0,     293,     333,      50,      10,  100.0,   61.1,   39.3,    0.0,   32.7,   57.8,    0.7,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,   94.6,   97.7,    5.4,    2.3,     22,      5,      4,      0,     11,.,.,      0,      0,      0,      0,      0,      0,     16,      7,    71.4,    86.3,    84.2,    97.7,    71.4,    86.3,    84.2,    97.0,"(RUSSELL 1000 VALUE INDEX x $50)","239744","CME ","239 ","F20","FutOnly"
"EMINI RUSSELL 1000 VALUE INDEX - CHICAGO MERCANTILE EXCHANGE",250218,2025-02-18,239744,CME ,00,239 ,   29071,   18046,   11219,       0,    9044,   16987,     210,     224,       0,       0,       0,       0,       0,   27524,   28416,    1547,     655,    -284,    -197,    -289,       0,     213,       0,       0,    -257,       0,     -21,       0,       0,       0,    -262,    -310,     -22,      26,  100.0,   62.1,   38.6,    0.0,   31.1,   58.4,    0.7,    0.8,    0.0,    0.0,    0.0,    0.0,    0.0,   94.7,   97.7,    5.3,    2.3,     23,      5,      4,      0,     11,.,.,.,      0,      0,      0,      0,      0,     17,      7,    71.3,    86.5,    84.1,    97.7,    71.3,    86.5,    84.1,    97.0,"(RUSSELL 1000 VALUE INDEX x $50)","239744","CME ","239 ","F20","FutOnly"
"EMINI RUSSELL 1000 VALUE INDEX - CHICAGO MERCANTILE EXCHANGE",250211,2025-02-11,239744,CME ,00,239 ,   29355,   18243,   11508,       0,    8831,   16987,     210,     481,       0,      21,       0,       0,       0,   27786,   28726,    1569,     629,    -932,   -1287,     119,       0,     740,   -1026,       0,      25,       0,       0,       0,       0,       0,    -522,    -907,    -410,     -25,  100.0,   62.1,   39.2,    0.0,   30.1,   57.9,    0.7,    1.6,    0.0,    0.1,    0.0,    0.0,    0.0,   94.7,   97.9,    5.3,    2.1,     24,      5,      5,      0,     11,.,.,.,      0,.,      0,      0,      0,     17,      9,    68.6,    84.4,    82.1,    97.8,    68.6,    84.4,    82.1,    97.1,"(RUSSELL 1000 VALUE INDEX x $50)","239744","CME ","239 ","F20","FutOnly"
"EMINI RUSSELL 1000 VALUE INDEX - CHICAGO MERCANTILE EXCHANGE",250204,2025-02-04,239744,CME ,00,239 ,   30287,   19530,   11389,       0,    8091,   18013,     210,     456,       0,      21,       0,       0,       0,   28308,   29633,    1979,     654,     918,    1392,     405,       0,    -738,     296,     -86,      37,       0,       0,       0,       0,       0,     605,     615,     313,     303,  100.0,   64.5,   37.6,    0.0,   26.7,   59.5,    0.7,    1.5,    0.0,    0.1,    0.0,    0.0,    0.0,   93.5,   97.8,    6.5,    2.2,     24,      5,      5,      0,     10,.,.,.,      0,.,      0,      0,      0,     16,     10,    69.4,    84.0,    82.3,    97.1,    69.4,    84.0,    82.3,    97.1,"(RUSSELL 1000 VALUE INDEX x $50)","239744","CME ","239 ","F20","FutOnly"
