"Market_and_Exchange_Names","As_of_Date_In_Form_YYMMDD","Report_Date_as_YYYY-MM-DD","CFTC_Contract_Market_Code","CFTC_Market_Code","CFTC_Region_Code","CFTC_Commodity_Code","Open_Interest_All","Dealer_Positions_Long_All","Dealer_Positions_Short_All","Dealer_Positions_Spread_All","Asset_Mgr_Positions_Long_All","Asset_Mgr_Positions_Short_All","Asset_Mgr_Positions_Spread_All","Lev_Money_Positions_Long_All","Lev_Money_Positions_Short_All","Lev_Money_Positions_Spread_All","Other_Rept_Positions_Long_All","Other_Rept_Positions_Short_All","Other_Rept_Positions_Spread_All","Tot_Rept_Positions_Long_All","Tot_Rept_Positions_Short_All","NonRept_Positions_Long_All","NonRept_Positions_Short_All","Change_in_Open_Interest_All","Change_in_Dealer_Long_All","Change_in_Dealer_Short_All","Change_in_Dealer_Spread_All","Change_in_Asset_Mgr_Long_All","Change_in_Asset_Mgr_Short_All","Change_in_Asset_Mgr_Spread_All","Change_in_Lev_Money_Long_All","Change_in_Lev_Money_Short_All","Change_in_Lev_Money_Spread_All","Change_in_Other_Rept_Long_All","Change_in_Other_Rept_Short_All","Change_in_Other_Rept_Spread_All","Change_in_Tot_Rept_Long_All","Change_in_Tot_Rept_Short_All","Change_in_NonRept_Long_All","Change_in_NonRept_Short_All","Pct_of_Open_Interest_All","Pct_of_OI_Dealer_Long_All","Pct_of_OI_Dealer_Short_All","Pct_of_OI_Dealer_Spread_All","Pct_of_OI_Asset_Mgr_Long_All","Pct_of_OI_Asset_Mgr_Short_All","Pct_of_OI_Asset_Mgr_Spread_All","Pct_of_OI_Lev_Money_Long_All","Pct_of_OI_Lev_Money_Short_All","Pct_of_OI_Lev_Money_Spread_All","Pct_of_OI_Other_Rept_Long_All","Pct_of_OI_Other_Rept_Short_All","Pct_of_OI_Other_Rept_Spread_All","Pct_of_OI_Tot_Rept_Long_All","Pct_of_OI_Tot_Rept_Short_All","Pct_of_OI_NonRept_Long_All","Pct_of_OI_NonRept_Short_All","Traders_Tot_All","Traders_Dealer_Long_All","Traders_Dealer_Short_All","Traders_Dealer_Spread_All","Traders_Asset_Mgr_Long_All","Traders_Asset_Mgr_Short_All","Traders_Asset_Mgr_Spread_All","Traders_Lev_Money_Long_All","Traders_Lev_Money_Short_All","Traders_Lev_Money_Spread_All","Traders_Other_Rept_Long_All","Traders_Other_Rept_Short_All","Traders_Other_Rept_Spread_All","Traders_Tot_Rept_Long_All","Traders_Tot_Rept_Short_All","Conc_Gross_LE_4_TDR_Long_All","Conc_Gross_LE_4_TDR_Short_All","Conc_Gross_LE_8_TDR_Long_All","Conc_Gross_LE_8_TDR_Short_All","Conc_Net_LE_4_TDR_Long_All","Conc_Net_LE_4_TDR_Short_All","Conc_Net_LE_8_TDR_Long_All","Conc_Net_LE_8_TDR_Short_All","Contract_Units","CFTC_Contract_Market_Code_Quotes","CFTC_Market_Code_Quotes","CFTC_Commodity_Code_Quotes","CFTC_SubGroup_Code","FutOnly_or_Combined"
"E-MINI S&P 500 - CHICAGO MERCANTILE EXCHANGE",231031,2023-10-31,13874A,CME ,00,138 , 2174689,  247609,  652081,   27052, 1072921,  468725,  184994,  153257,  384410,   50094,  175073,  173283,    3424, 1914424, 1944063,  260265,  230626,   16237,   -4994,    5502,    2829,    8786,   15304,   -7146,  -13821,   21488,    1621,   16904,  -30331,     200,    4379,    9467,   11858,    6770,  100.0,   11.4,   30.0,    1.2,   49.3,   21.6,    8.5,    7.0,   17.7,    2.3,    8.1,    8.0,    0.2,   88.0,   89.4,   12.0,   10.6,    505,     37,     36,     25,    159,     77,    100,     63,     89,     65,     26,     17,      7,    367,    335,    12.4,    31.0,    19.8,    40.4,    11.7,    30.3,    18.3,    39.0,"($50 X S&P 500 INDEX)","13874A","CME ","138 ","F20","FutOnly"
"E-MINI S&P 500 - CHICAGO MERCANTILE EXCHANGE",231024,2023-10-24,13874A,CME ,00,138 , 2158452,  252603,  646579,   24223, 1064135,  453421,  192140,  167078,  362922,   48473,  158169,  203614,    3224, 1910045, 1934596,  248407,  223856,   46033,  -14250,   20820,    3867,  -14833,   46623,   -2623,   47526,  -17268,   -5557,   27733,     484,   -1946,   39917,   44400,    6116,    1633,  100.0,   11.7,   30.0,    1.1,   49.3,   21.0,    8.9,    7.7,   16.8,    2.2,    7.3,    9.4,    0.1,   88.5,   89.6,   11.5,   10.4,    509,     32,     37,     20,    161,     74,    103,     73,     84,     62,     22,     24,      7,    370,    331,    12.5,    29.9,    19.4,    39.4,    11.6,    29.2,    17.8,    38.0,"($50 X S&P 500 INDEX)","13874A","CME ","138 ","F20","FutOnly"
"E-MINI S&P 500 - CHICAGO MERCANTILE EXCHANGE",231017,2023-10-17,13874A,CME ,00,138 , 2112419,  266853,  625759,   20356, 1078968,  406798,  194763,  119552,  380190,   54030,  130436,  203130,    5170, 1870128, 1890196,  242291,  222223,   38489,    9887,   17862,    1634,   10685,    5437,   -2703,    2818,  -21367,    3423,   11548,   28055,     -14,   37278,   32327,    1211,    6162,  100.0,   12.6,   29.6,    1.0,   51.1,   19.3,    9.2,    5.7,   18.0,    2.6,    6.2,    9.6,    0.2,   88.5,   89.5,   11.5,   10.5,    519,     31,     38,     20,    167,     73,    100,     63,     94,     64,     24,     27,      9,    365,    347,    12.6,    29.2,    19.9,    37.6,    11.8,    28.5,    18.2,    36.3,"($50 X S&P 500 INDEX)","13874A","CME ","138 ","F20","FutOnly"
"E-MINI S&P 500 - CHICAGO MERCANTILE EXCHANGE",231010,2023-10-10,13874A,CME ,00,138 , 2073930,  256966,  607897,   18722, 1068283,  401361,  197466,  116734,  401557,   50607,  118888,  175075,    5184, 1832850, 1857869,  241080,  216061,  -64104,    7757,  -79393,    1192,   -6620,   22595,  -11030,  -19543,    2311,    6504,  -32460,    1520,    1563,  -52637,  -54738,  -11467,   -9366,  100.0,   12.4,   29.3,    0.9,   51.5,   19.4,    9.5,    5.6,   19.4,    2.4,    5.7,    8.4,    0.2,   88.4,   89.6,   11.6,   10.4,    509,     29,     38,     19,    165,     73,     99,     70,     85,     65,     25,     21,      9,    365,    336,    13.0,    29.6,    20.2,    37.9,    12.2,    28.8,    18.5,    36.8,"($50 X S&P 500 INDEX)","13874A","CME ","138 ","F20","FutOnly"
"E-MINI S&P 500 - CHICAGO MERCANTILE EXCHANGE",231003,2023-10-03,13874A,CME ,00,138 , 2138034,  249209,  687290,   17530, 1074903,  378766,  208496,  136277,  399246,   44103,  151348,  173555,    3621, 1885487, 1912607,  252547,  225427,     386,   -5466,   -4779,   -2384,  -30070,   33291,    1850,  -18538,  -39181,    4920,   48489,    8545,     618,    -581,    2880,     967,   -2494,  100.0,   11.7,   32.1,    0.8,   50.3,   17.7,    9.8,    6.4,   18.7,    2.1,    7.1,    8.1,    0.2,   88.2,   89.5,   11.8,   10.5,    512,     28,     41,     19,    166,     70,    101,     73,     86,     56,     27,     20,      9,    365,    332,    12.7,    27.8,    19.8,    36.7,    11.8,    27.2,    18.0,    35.4,"($50 X S&P 500 INDEX)","13874A","CME ","138 ","F20","FutOnly"
"E-MINI S&P 500 - CHICAGO MERCANTILE EXCHANGE",230926,2023-09-26,13874A,CME ,00,138 , 2137648,  254675,  692069,   19914, 1104973,  345475,  206646,  154815,  438427,   39183,  102859,  165010,    3003, 1886068, 1909727,  251580,  227921,   39702,    4347,    1145,     191,  -60569,   43614,    5160,   56370,   19684,    5869,   19905,  -35061,    -409,   30864,   40193,    8838,    -491,  100.0,   11.9,   32.4,    0.9,   51.7,   16.2,    9.7,    7.2,   20.5,    1.8,    4.8,    7.7,    0.1,   88.2,   89.3,   11.8,   10.7,    511,     28,     42,     17,    170,     66,    105,     74,     84,     58,     28,     19,      8,    370,    329,    13.8,    27.0,    21.1,    36.7,    12.6,    26.3,    19.3,    35.4,"($50 X S&P 500 INDEX)","13874A","CME ","138 ","F20","FutOnly"
"E-MINI S&P 500 - CHICAGO MERCANTILE EXCHANGE",230919,2023-09-19,13874A,CME ,00,138 , 2097946,  250328,  690924,   19723, 1165542,  301861,  201486,   98445,  418743,   33314,   82954,  200071,    3412, 1855204, 1869534,  242742,  228412, -422218,  -27942,  -62631, -117122,   66634,  -15749,  -37654,  -77903,   -7717,  -95289,  -40217,   -8289,  -48573, -378066, -393024,  -44152,  -29194,  100.0,   11.9,   32.9,    0.9,   55.6,   14.4,    9.6,    4.7,   20.0,    1.6,    4.0,    9.5,    0.2,   88.4,   89.1,   11.6,   10.9,    494,     31,     39,     15,    173,     62,    101,     57,     94,     55,     17,     21,      7,    345,    327,    14.5,    26.7,    22.1,    35.9,    13.1,    25.9,    20.2,    34.6,"($50 X S&P 500 INDEX)","13874A","CME ","138 ","F20","FutOnly"
"E-MINI S&P 500 - CHICAGO MERCANTILE EXCHANGE",230912,2023-09-12,13874A,CME ,00,138 , 2520164,  278270,  753555,  136845, 1098908,  317610,  239140,  176348,  426460,  128603,  123171,  208360,   51985, 2233270, 2262558,  286894,  257606,  261004,  -45249,   32284,  103547,   -9032,  -10191,   37298,   50100,  -35090,   63836,  -10388,    7072,   40868,  230980,  239624,   30024,   21380,  100.0,   11.0,   29.9,    5.4,   43.6,   12.6,    9.5,    7.0,   16.9,    5.1,    4.9,    8.3,    2.1,   88.6,   89.8,   11.4,   10.2,    517,     36,     42,     42,    170,     63,    107,     65,     95,     83,     22,     21,     10,    401,    358,    12.0,    23.9,    19.2,    33.7,    10.9,    22.7,    17.0,    30.7,"($50 X S&P 500 INDEX)","13874A","CME ","138 ","F20","FutOnly"
"E-MINI S&P 500 - CHICAGO MERCANTILE EXCHANGE",230905,2023-09-05,13874A,CME ,00,138 , 2259160,  323519,  721271,   33298, 1107940,  327801,  201842,  126248,  461550,   64767,  133559,  201288,   11117, 2002290, 2022934,  256870,  236226,   -8412,   -7174,   21163,    2827,   13143,  -11589,   -2801,  -11820,  -30241,    6749,  -12748,    4475,    2147,   -9677,   -7270,    1265,   -1142,  100.0,   14.3,   31.9,    1.5,   49.0,   14.5,    8.9,    5.6,   20.4,    2.9,    5.9,    8.9,    0.5,   88.6,   89.5,   11.4,   10.5,    503,     35,     38,     24,    167,     68,     96,     65,     90,     66,     21,     18,     11,    365,    335,    13.3,    26.8,    21.6,    36.3,    12.3,    25.8,    19.7,    34.6,"($50 X S&P 500 INDEX)","13874A","CME ","138 ","F20","FutOnly"
"E-MINI S&P 500 - CHICAGO MERCANTILE EXCHANGE",230829,2023-08-29,13874A,CME ,00,138 , 2267572,  330693,  700108,   30471, 1094797,  339390,  204643,  138068,  491791,   58018,  146307,  196813,    8970, 2011967, 2030204,  255605,  237368,   35346,   17498,   -4498,    2398,  -13693,  -14118,    2057,   17852,   39753,    8838,    7562,   -5269,    3075,   45587,   32236,  -10241,    3110,  100.0,   14.6,   30.9,    1.3,   48.3,   15.0,    9.0,    6.1,   21.7,    2.6,    6.5,    8.7,    0.4,   88.7,   89.5,   11.3,   10.5,    503,     33,     40,     25,    166,     71,    103,     63,     89,     64,     22,     18,     11,    368,    338,    13.1,    26.9,    20.9,    36.9,    12.1,    26.0,    19.2,    35.4,"($50 X S&P 500 INDEX)","13874A","CME ","138 ","F20","FutOnly"
"E-MINI S&P 500 - CHICAGO MERCANTILE EXCHANGE",230822,2023-08-22,13874A,CME ,00,138 , 2232226,  313195,  704606,   28073, 1108490,  353508,  202586,  120216,  452038,   49180,  138745,  202082,    5895, 1966380, 1997968,  265846,  234258,   12142,     354,   -1013,     255,    5221,   29766,   -3715,  -26199,    9591,   -3544,   44435,   -5206,   -6890,    9917,   19244,    2225,   -7102,  100.0,   14.0,   31.6,    1.3,   49.7,   15.8,    9.1,    5.4,   20.3,    2.2,    6.2,    9.1,    0.3,   88.1,   89.5,   11.9,   10.5,    502,     34,     39,     24,    163,     75,    101,     58,     94,     60,     23,     15,      6,    363,    330,    13.5,    28.0,    21.5,    37.1,    12.5,    26.9,    19.8,    35.2,"($50 X S&P 500 INDEX)","13874A","CME ","138 ","F20","FutOnly"
"E-MINI S&P 500 - CHICAGO MERCANTILE EXCHANGE",230815,2023-08-15,13874A,CME ,00,138 , 2220084,  312841,  705619,   27818, 1103269,  323742,  206301,  146415,  442447,   52724,   94310,  207288,   12785, 1956463, 1978724,  263621,  241360,   -1625,   -1183,   15098,      77,    9549,    4372,   -3485,  -24598,  -56092,   -3475,    9648,   32624,    9422,   -4045,   -1459,    2420,    -166,  100.0,   14.1,   31.8,    1.3,   49.7,   14.6,    9.3,    6.6,   19.9,    2.4,    4.2,    9.3,    0.6,   88.1,   89.1,   11.9,   10.9,    518,     32,     40,     23,    169,     70,    100,     63,     99,     63,     22,     22,      8,    368,    344,    13.8,    26.9,    21.5,    35.8,    12.8,    25.8,    19.7,    33.8,"($50 X S&P 500 INDEX)","13874A","CME ","138 ","F20","FutOnly"
"E-MINI S&P 500 - CHICAGO MERCANTILE EXCHANGE",230808,2023-08-08,13874A,CME ,00,138 , 2221709,  314024,  690521,   27741, 1093720,  319370,  209786,  171013,  498539,   56199,   84662,  174664,    3363, 1960508, 1980183,  261201,  241526,  -20040,    5833,   17809,   -6221,  -30851,   15151,   -6795,   23316,  -31663,    2513,   -7732,   -5801,      17,  -19920,  -14990,    -120,   -5050,  100.0,   14.1,   31.1,    1.2,   49.2,   14.4,    9.4,    7.7,   22.4,    2.5,    3.8,    7.9,    0.2,   88.2,   89.1,   11.8,   10.9,    515,     33,     38,     23,    168,     73,    102,     63,     95,     61,     22,     22,      6,    367,    340,    13.3,    27.6,    21.6,    37.1,    12.5,    26.5,    19.9,    35.2,"($50 X S&P 500 INDEX)","13874A","CME ","138 ","F20","FutOnly"
"E-MINI S&P 500 - CHICAGO MERCANTILE EXCHANGE",230801,2023-08-01,13874A,CME ,00,138 , 2241749,  308191,  672712,   33962, 1124571,  304219,  216581,  147697,  530202,   53686,   92394,  180465,    3346, 1980428, 1995173,  261321,  246576,   -1612,   11088,   29209,    -631,    2489,  -15557,    -431,   -9965,  -30792,    9394,  -16504,    1791,      -3,   -4563,   -7020,    2951,    5408,  100.0,   13.7,   30.0,    1.5,   50.2,   13.6,    9.7,    6.6,   23.7,    2.4,    4.1,    8.1,    0.1,   88.3,   89.0,   11.7,   11.0,    524,     33,     38,     23,    165,     76,    102,     60,    104,     66,     22,     25,      6,    367,    354,    13.1,    26.1,    21.8,    36.6,    12.1,    25.6,    19.9,    34.7,"($50 X S&P 500 INDEX)","13874A","CME ","138 ","F20","FutOnly"
"E-MINI S&P 500 - CHICAGO MERCANTILE EXCHANGE",230725,2023-07-25,13874A,CME ,00,138 , 2243361,  297103,  643503,   34593, 1122082,  319776,  217012,  157662,  560994,   44292,  108898,  178674,    3349, 1984991, 2002193,  258370,  241168,  -37316,  -17016,  -32442,       9,   -1165,   16316,   -7239,  -16604,    1575,    5752,    4611,  -26109,      12,  -31640,  -42126,   -5676,    4810,  100.0,   13.2,   28.7,    1.5,   50.0,   14.3,    9.7,    7.0,   25.0,    2.0,    4.9,    8.0,    0.1,   88.5,   89.2,   11.5,   10.8,    528,     34,     36,     21,    166,     77,    101,     59,    108,     63,     20,     26,      8,    366,    355,    13.0,    24.7,    21.3,    34.5,    11.8,    23.9,    19.5,    32.9,"($50 X S&P 500 INDEX)","13874A","CME ","138 ","F20","FutOnly"
"E-MINI S&P 500 - CHICAGO MERCANTILE EXCHANGE",230718,2023-07-18,13874A,CME ,00,138 , 2280677,  314119,  675945,   34584, 1123247,  303460,  224251,  174266,  559419,   38540,  104287,  204783,    3337, 2016631, 2044319,  264046,  236358,   71070,    3654,   28108,     435,   39363,  -20301,    -659,    1131,   79148,    2413,    9703,  -11958,     211,   56251,   77397,   14819,   -6327,  100.0,   13.8,   29.6,    1.5,   49.3,   13.3,    9.8,    7.6,   24.5,    1.7,    4.6,    9.0,    0.1,   88.4,   89.6,   11.6,   10.4,    529,     33,     40,     20,    166,     72,    100,     60,    105,     58,     22,     29,      7,    361,    353,    13.1,    24.6,    21.1,    35.1,    11.7,    23.9,    19.3,    33.5,"($50 X S&P 500 INDEX)","13874A","CME ","138 ","F20","FutOnly"
"E-MINI S&P 500 - CHICAGO MERCANTILE EXCHANGE",230711,2023-07-11,13874A,CME ,00,138 , 2209607,  310465,  647837,   34149, 1083884,  323761,  224910,  173135,  480271,   36127,   94584,  216741,    3126, 1960380, 1966922,  249227,  242685,   -1397,    2659,    3385,   -2128,   -9011,    7923,   -4231,    3715,   18211,   -2986,    7901,  -19161,    -544,   -4625,     469,    3228,   -1866,  100.0,   14.1,   29.3,    1.5,   49.1,   14.7,   10.2,    7.8,   21.7,    1.6,    4.3,    9.8,    0.1,   88.7,   89.0,   11.3,   11.0,    528,     30,     42,     19,    163,     77,    103,     67,    100,     62,     21,     27,      7,    368,    351,    13.7,    25.5,    21.8,    35.1,    12.3,    24.6,    19.9,    33.3,"($50 X S&P 500 INDEX)","13874A","CME ","138 ","F20","FutOnly"
"E-MINI S&P 500 - CHICAGO MERCANTILE EXCHANGE",230703,2023-07-03,13874A,CME ,00,138 , 2211004,  307806,  644452,   36277, 1092895,  315838,  229141,  169420,  462060,   39113,   86683,  235902,    3670, 1965005, 1966453,  245999,  244551,   23890,  -15301,    8223,    1160,     226,  -22870,    4812,   33220,   10237,    7656,  -12956,    7650,   -2196,   16621,   14672,    7269,    9218,  100.0,   13.9,   29.1,    1.6,   49.4,   14.3,   10.4,    7.7,   20.9,    1.8,    3.9,   10.7,    0.2,   88.9,   88.9,   11.1,   11.1,    519,     28,     40,     17,    162,     81,    108,     65,     95,     58,     20,     27,      8,    357,    353,    13.2,    25.2,    21.3,    34.2,    11.8,    24.4,    19.2,    32.8,"($50 X S&P 500 INDEX)","13874A","CME ","138 ","F20","FutOnly"
"E-MINI S&P 500 - CHICAGO MERCANTILE EXCHANGE",230627,2023-06-27,13874A,CME ,00,138 , 2187114,  323107,  636229,   35117, 1092669,  338708,  224329,  136200,  451823,   31457,   99639,  228252,    5866, 1948384, 1951781,  238730,  235333,  -36701,  -22162,   72396,     -28,  -25230,   19339,   -7661,    9978,  -54822,     115,   11966,  -49516,     745,  -32277,  -19432,   -4424,  -17269,  100.0,   14.8,   29.1,    1.6,   50.0,   15.5,   10.3,    6.2,   20.7,    1.4,    4.6,   10.4,    0.3,   89.1,   89.2,   10.9,   10.8,    539,     30,     41,     17,    165,     75,    105,     71,    100,     53,     25,     31,     12,    365,    361,    14.3,    24.5,    22.1,    33.6,    12.9,    23.7,    20.2,    32.1,"($50 X S&P 500 INDEX)","13874A","CME ","138 ","F20","FutOnly"
"E-MINI S&P 500 - CHICAGO MERCANTILE EXCHANGE",230620,2023-06-20,13874A,CME ,00,138 , 2223815,  345269,  563833,   35145, 1117899,  319369,  231990,  126222,  506645,   31342,   87673,  277768,    5121, 1980661, 1971213,  243154,  252602, -683653, -180311,   29629, -200860,   21455,  -13456,  -33643,  -46862, -205004, -124594,   -5855,  -55559,  -25094, -595764, -628581,  -87889,  -55072,  100.0,   15.5,   25.4,    1.6,   50.3,   14.4,   10.4,    5.7,   22.8,    1.4,    3.9,   12.5,    0.2,   89.1,   88.6,   10.9,   11.4,    524,     28,     35,     16,    163,     78,    108,     61,     99,     44,     24,     35,     11,    349,    354,    14.9,    24.1,    22.5,    32.9,    13.5,    23.1,    20.6,    31.9,"($50 X S&P 500 INDEX)","13874A","CME ","138 ","F20","FutOnly"
"E-MINI S&P 500 - CHICAGO MERCANTILE EXCHANGE",230613,2023-06-13,13874A,CME ,00,138 , 2907468,  525580,  534204,  236005, 1096444,  332825,  265633,  173084,  711649,  155936,   93528,  333327,   30215, 2576425, 2599794,  331043,  307674,  407236,  -40536,   48992,  171242,   46652,  -50841,   40872,   -8787,  -46353,   95984,    7492,   82402,   22329,  335248,  364627,   71988,   42609,  100.0,   18.1,   18.4,    8.1,   37.7,   11.4,    9.1,    6.0,   24.5,    5.4,    3.2,   11.5,    1.0,   88.6,   89.4,   11.4,   10.6,    540,     32,     38,     42,    157,     80,    121,     63,    109,     82,     23,     34,     19,    400,    404,    14.9,    20.6,    23.7,    30.8,    13.2,    17.4,    19.7,    26.5,"($50 X S&P 500 INDEX)","13874A","CME ","138 ","F20","FutOnly"
"E-MINI S&P 500 - CHICAGO MERCANTILE EXCHANGE",230606,2023-06-06,13874A,CME ,00,138 , 2500232,  566116,  485212,   64763, 1049792,  383666,  224761,  181871,  758002,   59952,   86036,  250925,    7886, 2241177, 2235167,  259055,  265065,    5289,    -957,   -6844,    9666,    5344,  -32886,   -4703,   -4070,   41338,    1754,    -731,   -6644,   -2109,    4194,    -428,    1095,    5717,  100.0,   22.6,   19.4,    2.6,   42.0,   15.3,    9.0,    7.3,   30.3,    2.4,    3.4,   10.0,    0.3,   89.6,   89.4,   10.4,   10.6,    535,     35,     37,     24,    158,     81,    112,     64,    105,     66,     19,     33,     15,    374,    378,    16.3,    21.8,    25.2,    32.1,    15.3,    20.2,    23.5,    29.8,"($50 X S&P 500 INDEX)","13874A","CME ","138 ","F20","FutOnly"
"E-MINI S&P 500 - CHICAGO MERCANTILE EXCHANGE",230530,2023-05-30,13874A,CME ,00,138 , 2494943,  567073,  492056,   55097, 1044448,  416552,  229464,  185941,  716664,   58198,   86767,  257569,    9995, 2236983, 2235595,  257960,  259348,  109007,   75383,   54913,   -4798,   -5880,   -6164,    8503,   21055,   33877,    5142,   -2432,   21927,    2800,   99773,  116200,    9234,   -7193,  100.0,   22.7,   19.7,    2.2,   41.9,   16.7,    9.2,    7.5,   28.7,    2.3,    3.5,   10.3,    0.4,   89.7,   89.6,   10.3,   10.4,    538,     35,     38,     19,    159,     87,    111,     62,     99,     67,     24,     32,     16,    368,    383,    17.5,    21.6,    27.8,    31.4,    17.0,    20.1,    26.3,    29.4,"($50 X S&P 500 INDEX)","13874A","CME ","138 ","F20","FutOnly"
"E-MINI S&P 500 - CHICAGO MERCANTILE EXCHANGE",230523,2023-05-23,13874A,CME ,00,138 , 2385936,  491690,  437143,   59895, 1050328,  422716,  220961,  164886,  682787,   53056,   89199,  235642,    7195, 2137210, 2119395,  248726,  266541,   79638,   48280,   75927,   -6019,    6169,   -8405,  -10174,   37252,   53877,   -4147,    2873,  -17703,     285,   74519,   83641,    5119,   -4003,  100.0,   20.6,   18.3,    2.5,   44.0,   17.7,    9.3,    6.9,   28.6,    2.2,    3.7,    9.9,    0.3,   89.6,   88.8,   10.4,   11.2,    539,     34,     38,     22,    159,     84,    112,     60,    105,     65,     23,     33,     14,    365,    387,    16.2,    21.5,    26.4,    31.0,    15.4,    19.7,    25.0,    28.7,"($50 X S&P 500 INDEX)","13874A","CME ","138 ","F20","FutOnly"
"E-MINI S&P 500 - CHICAGO MERCANTILE EXCHANGE",230516,2023-05-16,13874A,CME ,00,138 , 2306298,  443410,  361216,   65914, 1044159,  431121,  231135,  127634,  628910,   57203,   86326,  253345,    6910, 2062691, 2035754,  243607,  270544,   10039,    6588,   20635,    2831,   22111,    5891,   -3112,  -10911,  -22938,   -4812,    3338,   12465,   -4032,   12001,    6928,   -1962,    3111,  100.0,   19.2,   15.7,    2.9,   45.3,   18.7,   10.0,    5.5,   27.3,    2.5,    3.7,   11.0,    0.3,   89.4,   88.3,   10.6,   11.7,    533,     36,     32,     21,    151,     91,    111,     56,    106,     56,     23,     35,     12,    353,    380,    15.3,    22.2,    24.4,    31.2,    14.4,    19.7,    23.0,    27.9,"($50 X S&P 500 INDEX)","13874A","CME ","138 ","F20","FutOnly"
"E-MINI S&P 500 - CHICAGO MERCANTILE EXCHANGE",230509,2023-05-09,13874A,CME ,00,138 , 2296259,  436822,  340581,   63083, 1022048,  425230,  234247,  138545,  651848,   62015,   82988,  240880,   10942, 2050690, 2028826,  245569,  267433,   20076,    4031,  -12503,    2606,   -2654,   -6390,    2525,    3566,   49005,    4150,   -1895,  -23072,    5778,   18107,   22099,    1969,   -2023,  100.0,   19.0,   14.8,    2.7,   44.5,   18.5,   10.2,    6.0,   28.4,    2.7,    3.6,   10.5,    0.5,   89.3,   88.4,   10.7,   11.6,    533,     36,     33,     22,    149,     92,    109,     59,    108,     57,     23,     31,     12,    354,    379,    15.0,    22.1,    24.6,    30.8,    14.3,    19.6,    23.1,    27.7,"($50 X S&P 500 INDEX)","13874A","CME ","138 ","F20","FutOnly"
"E-MINI S&P 500 - CHICAGO MERCANTILE EXCHANGE",230502,2023-05-02,13874A,CME ,00,138 , 2276183,  432791,  353084,   60477, 1024702,  431620,  231722,  134979,  602843,   57865,   84883,  263952,    5164, 2032583, 2006727,  243600,  269456,   10389,   24121,    2891,    8544,   -4852,  -13460,   -3418,   -7463,  -14665,   -3564,   -3636,   30921,   -2704,    7028,    4545,    3361,    5844,  100.0,   19.0,   15.5,    2.7,   45.0,   19.0,   10.2,    5.9,   26.5,    2.5,    3.7,   11.6,    0.2,   89.3,   88.2,   10.7,   11.8,    545,     37,     33,     22,    149,    100,    114,     60,    104,     59,     24,     35,     12,    363,    389,    15.2,    21.1,    24.5,    30.0,    14.3,    18.7,    23.0,    27.0,"($50 X S&P 500 INDEX)","13874A","CME ","138 ","F20","FutOnly"
"E-MINI S&P 500 - CHICAGO MERCANTILE EXCHANGE",230425,2023-04-25,13874A,CME ,00,138 , 2265794,  408670,  350193,   51933, 1029554,  445080,  235140,  142442,  617508,   61429,   88519,  233031,    7868, 2025555, 2002182,  240239,  263612,  -12527,  -36626,   28685,    1536,    3202,   10193,   -2492,   22839,  -49391,     776,    1632,   -6240,   -1982,  -11115,  -18915,   -1412,    6388,  100.0,   18.0,   15.5,    2.3,   45.4,   19.6,   10.4,    6.3,   27.3,    2.7,    3.9,   10.3,    0.3,   89.4,   88.4,   10.6,   11.6,    542,     32,     36,     15,    151,     99,    112,     62,    103,     59,     30,     28,     10,    368,    370,    15.4,    20.2,    24.0,    28.4,    14.2,    18.3,    22.6,    26.1,"($50 X S&P 500 INDEX)","13874A","CME ","138 ","F20","FutOnly"
"E-MINI S&P 500 - CHICAGO MERCANTILE EXCHANGE",230418,2023-04-18,13874A,CME ,00,138 , 2278321,  445296,  321508,   50397, 1026352,  434887,  237632,  119603,  666899,   60653,   86887,  239271,    9850, 2036670, 2021097,  241651,  257224,   29852,  -33073,    7873,    6559,   52717,   -3568,   -4850,     523,   16901,    4099,   -9949,    7839,    -572,   15454,   34281,   14398,   -4429,  100.0,   19.5,   14.1,    2.2,   45.0,   19.1,   10.4,    5.2,   29.3,    2.7,    3.8,   10.5,    0.4,   89.4,   88.7,   10.6,   11.3,    542,     31,     35,     17,    151,    101,    111,     61,    106,     60,     26,     31,     10,    365,    375,    15.3,    22.6,    24.3,    30.6,    14.3,    20.9,    22.8,    28.3,"($50 X S&P 500 INDEX)","13874A","CME ","138 ","F20","FutOnly"
"E-MINI S&P 500 - CHICAGO MERCANTILE EXCHANGE",230411,2023-04-11,13874A,CME ,00,138 , 2248469,  478369,  313635,   43838,  973635,  438455,  242482,  119080,  649998,   56554,   96836,  231432,   10422, 2021216, 1986816,  227253,  261653,   28957,     -90,   10519,    1963,   41144,   -2457,    2966,   26564,   -8330,    5789,   29264,   22763,   -4934,  102666,   28279,  -73709,     678,  100.0,   21.3,   13.9,    1.9,   43.3,   19.5,   10.8,    5.3,   28.9,    2.5,    4.3,   10.3,    0.5,   89.9,   88.4,   10.1,   11.6,    533,     33,     31,     17,    145,     97,    117,     62,    101,     61,     31,     31,      8,    367,    369,    15.8,    23.4,    24.9,    31.8,    14.7,    22.0,    23.5,    30.0,"($50 X S&P 500 INDEX)","13874A","CME ","138 ","F20","FutOnly"
